vectorizer,n_components,f1,precision,recall
tfidf,5,0.184,0.3,0.132
tfidf,10,0.362,0.231,0.833
tfidf,15,0.349,0.287,0.444
tfidf,20,0.386,0.273,0.658
tfidf,30,0.422,0.333,0.575
tfidf,50,0.438,0.337,0.627
tfidf,100,0.45,0.334,0.692
tfidf,200,0.46,0.345,0.691
tfidf,300,0.477,0.366,0.687
embedding,5,0.472,0.368,0.659
embedding,10,0.393,0.265,0.756
embedding,15,0.394,0.359,0.436
embedding,20,0.39,0.271,0.694
embedding,30,0.353,0.229,0.778
embedding,50,0.298,0.279,0.32
embedding,100,0.302,0.263,0.357
embedding,200,0.225,0.251,0.204
embedding,300,0.326,0.219,0.644
