vectorizer,n_components,f1,precision,recall
tfidf,5,0.184,0.3,0.132
tfidf,10,0.362,0.231,0.833
tfidf,15,0.349,0.287,0.444
tfidf,20,0.386,0.273,0.658
tfidf,30,0.422,0.333,0.575
tfidf,50,0.438,0.337,0.627
tfidf,100,0.45,0.334,0.692
tfidf,200,0.46,0.345,0.691
tfidf,300,0.477,0.366,0.687
embedding,5,0.472,0.368,0.659
embedding,10,0.393,0.265,0.756
embedding,15,0.394,0.359,0.436
embedding,20,0.39,0.271,0.694
embedding,30,0.353,0.229,0.778
embedding,50,0.298,0.279,0.32
embedding,100,0.302,0.263,0.357
embedding,200,0.225,0.251,0.204
embedding,300,0.326,0.219,0.644
tfidf_balanced,5,0.667,0.5,1.0
tfidf_balanced,10,0.667,0.5,1.0
tfidf_balanced,15,0.692,0.535,0.978
tfidf_balanced,20,0.678,0.517,0.986
tfidf_balanced,30,0.686,0.529,0.975
tfidf_balanced,50,0.679,0.518,0.986
tfidf_balanced,100,0.694,0.538,0.977
tfidf_balanced,200,0.704,0.549,0.984
tfidf_balanced,300,0.725,0.577,0.974
embedding_balanced,5,0.667,0.5,1.0
embedding_balanced,10,0.727,0.58,0.974
embedding_balanced,15,0.667,0.501,0.999
embedding_balanced,20,0.667,0.5,1.0
embedding_balanced,30,0.667,0.5,1.0
embedding_balanced,50,0.667,0.5,1.0
embedding_balanced,100,0.667,0.5,1.0
embedding_balanced,200,0.667,0.5,1.0
embedding_balanced,300,0.667,0.5,1.0
