max_df,min_df,ngram_range,token_pattern,f1,precision,recall
0.75,5,"(1, 2)","\b[a-z]{2,}\b",0.445,0.335,0.659
0.85,5,"(1, 2)","\b[a-z]{2,}\b",0.445,0.335,0.659
0.95,5,"(1, 2)","\b[a-z]{2,}\b",0.445,0.335,0.659
0.85,20,"(1, 1)","\b[a-z]{3,}\b",0.441,0.328,0.672
0.95,20,"(1, 1)","\b[a-z]{3,}\b",0.441,0.328,0.672
0.75,20,"(1, 1)","\b[a-z]{3,}\b",0.441,0.328,0.672
0.85,10,"(1, 2)","\b[a-z]{3,}\b",0.439,0.325,0.677
0.95,10,"(1, 2)","\b[a-z]{3,}\b",0.439,0.325,0.677
0.75,10,"(1, 2)","\b[a-z]{3,}\b",0.439,0.325,0.677
0.75,20,"(1, 2)","\b[a-z]{3,}\b",0.438,0.337,0.627
0.95,20,"(1, 2)","\b[a-z]{3,}\b",0.438,0.337,0.627
0.85,20,"(1, 2)","\b[a-z]{3,}\b",0.438,0.337,0.627
0.85,5,"(1, 1)","\b[a-z]{3,}\b",0.436,0.326,0.659
0.95,5,"(1, 1)","\b[a-z]{3,}\b",0.436,0.326,0.659
0.75,5,"(1, 1)","\b[a-z]{3,}\b",0.436,0.326,0.659
0.95,10,"(1, 2)","\b[a-z]{2,}\b",0.435,0.328,0.645
0.85,10,"(1, 2)","\b[a-z]{2,}\b",0.435,0.328,0.645
0.75,10,"(1, 2)","\b[a-z]{2,}\b",0.435,0.328,0.645
0.95,20,"(1, 2)","\b[a-z]{2,}\b",0.434,0.33,0.632
0.85,20,"(1, 2)","\b[a-z]{2,}\b",0.434,0.33,0.632
0.75,20,"(1, 2)","\b[a-z]{2,}\b",0.434,0.33,0.632
0.75,5,"(1, 2)","\b[a-z]{3,}\b",0.426,0.304,0.711
0.95,20,"(1, 1)","\b[a-z]{2,}\b",0.426,0.308,0.694
0.85,20,"(1, 1)","\b[a-z]{2,}\b",0.426,0.308,0.694
0.75,20,"(1, 1)","\b[a-z]{2,}\b",0.426,0.308,0.694
0.75,10,"(1, 1)","\b[a-z]{3,}\b",0.426,0.306,0.702
0.85,10,"(1, 1)","\b[a-z]{3,}\b",0.426,0.306,0.702
0.85,5,"(1, 2)","\b[a-z]{3,}\b",0.426,0.304,0.711
0.95,5,"(1, 2)","\b[a-z]{3,}\b",0.426,0.304,0.711
0.95,10,"(1, 1)","\b[a-z]{3,}\b",0.426,0.306,0.702
0.95,10,"(1, 1)","\b[a-z]{2,}\b",0.423,0.331,0.586
0.75,10,"(1, 1)","\b[a-z]{2,}\b",0.423,0.331,0.586
0.85,10,"(1, 1)","\b[a-z]{2,}\b",0.423,0.331,0.586
0.75,5,"(1, 1)","\b[a-z]{2,}\b",0.419,0.312,0.637
0.85,5,"(1, 1)","\b[a-z]{2,}\b",0.419,0.312,0.637
0.95,5,"(1, 1)","\b[a-z]{2,}\b",0.419,0.312,0.637
